"Final.depth(m)","grascale"
133.07654200022,148.9733
133.07677284022,140.08
133.07700368022,149.4
133.07723452022,149.88
133.07746536022,151.7867
133.07769620022,142.48
133.07792704022,134.96
133.07815788022,147.7733
133.07838872022,157.76
133.07861956022,166.8133
133.07885040022,152.88
133.07908124022,108.0533
133.07931208022,83.2667
133.07954292022,121.76
133.07977376022,124.5867
133.08000460022,109.7733
133.08023544022,111.9867
133.08046628022,136.6933
133.08069712022,165.8533
133.08092796022,156.0133
133.08115880022,99.2133
133.08138964022,96.9467
133.08162048022,102.0533
133.08185132022,85.1333
133.08208216022,80.7733
133.08231300022,74.32
133.08254384022,85.7333
133.08277468022,87.3867
133.08300552022,90.3733
133.08323636022,81.5867
133.08346720022,75.8133
133.08369804022,145.9733
133.08392888022,193.5467
133.08415972022,185.2
133.08439056022,144.6133
133.08462140022,133.6533
133.08485224022,160.2533
133.08508308022,127.7733
133.08531392022,119.88
133.08554476022,165.7467
133.08577560022,128.4667
133.08600644022,86.5067
133.08623728022,147.8133
133.08646812022,211.5333
133.08669896022,197.4133
133.08692980022,175.48
133.08716064022,208.4
133.08739148022,210.7867
133.08762232022,133.9333
133.08785316022,91.52
133.08808400022,130.32
133.08831484022,150.4933
133.08854568022,135.4267
133.08877652022,126.4533
133.08900736022,204.1067
133.08923820022,223.92
133.08946904022,216.7867
133.089699880219,217.8533
133.08993072022,205.36
133.09016156022,157.44
133.09039240022,107.5333
133.09062324022,139.8933
133.09085408022,160.3467
133.09108492022,88.8667
133.09131576022,70.4133
133.09154660022,70.7733
133.09177744022,86.2
133.09200828022,119.16
133.09223912022,113.7467
133.09246996022,112.88
133.09270080022,149.0667
133.09293164022,129.7867
133.09316248022,70.2667
133.09339332022,87.9333
133.09362416022,142.08
133.09385500022,100.0933
133.09408584022,79.7067
133.09431668022,149.72
133.09454752022,182.5867
133.09477836022,134.9333
133.09500920022,89.7867
133.09524004022,115.3067
133.09547088022,151.6267
133.09570172022,156.28
133.09593256022,135.64
133.09616340022,114.4933
133.09639424022,94.1467
133.09662508022,169.88
133.09685592022,204.08
133.09708676022,144.28
133.09731760022,148.4133
133.09754844022,151.8133
133.09777928022,118.04
133.09801012022,106.7067
133.09824096022,122.0667
133.09847180022,126.68
133.09870264022,106.3733
133.09893348022,94.56
133.09916432022,100.9867
133.09939516022,123.7333
133.09962600022,157.5067
133.09985684022,177.8
133.10008768022,179.2267
133.10031852022,166.4267
133.10054936022,155.72
133.10078020022,144.96
133.10101104022,149.4
133.10124188022,143.72
133.10147272022,126.8933
133.10170356022,120.4133
133.10193440022,135.96
133.10216524022,143.4133
133.10239608022,134.8933
133.10262692022,126.7867
133.10285776022,92.2667
133.10308860022,55.1333
133.10331944022,56.8133
133.10355028022,94.28
133.10378112022,102.3467
133.10401196022,119.0133
133.10424280022,201.7733
133.10447364022,213
133.10470448022,176.72
133.10493532022,137.5333
133.10516616022,95.1467
133.10539700022,153.2
133.10562784022,215.4
133.10585868022,229.6
133.10608952022,199.04
133.10632036022,113.8667
133.10655120022,96.2
133.10678204022,204.48
133.10701288022,213.52
133.10724372022,201.9067
133.10747456022,193.0533
133.10770540022,130.8133
133.10793624022,79.92
133.10816708022,126.1733
133.10839792022,194.0267
133.10862876022,226.2267
133.10885960022,226.2267
133.10909044022,195.08
133.10932128022,107.5867
133.10955212022,82.5067
133.10978296022,110.16
133.11001380022,84.7067
133.11024464022,103.68
133.11047548022,147.1733
133.11070632022,140.5333
133.11093716022,123.4667
133.11116800022,130.2667
133.11139884022,153.56
133.11162968022,170.2533
133.11186052022,191.8133
133.11209136022,185.8267
133.11232220022,145.6933
133.11255304022,100.48
133.11278388022,93.92
