Final.depth_m,Grayscale
130.5142180002 ,90.3467
130.5144488402 ,109.6667
130.5146796802 ,89.2
130.5149105202 ,86.72
130.5151413602 ,114.6667
130.5153722002 ,118.9733
130.5156030402 ,85
130.5158338802 ,94.96
130.5160647202 ,105.9733
130.5162955602 ,120.44
130.5165264002 ,116.76
130.5167572402 ,114.3333
130.5169880802 ,126.8667
130.5172189202 ,136.68
130.5174497602 ,120.3733
130.5176806002 ,128.44
130.5179114402 ,161.4
130.5181422802 ,158.4
130.5183731202 ,134.9067
130.5186039602 ,138.96
130.5188348002 ,130.5067
130.5190656402 ,133.3333
130.5192964802 ,152.92
130.5195273202 ,129.4133
130.5197581602 ,121.5867
130.5199890002 ,184.4267
130.5202198402 ,198.56
130.5204506802 ,177.8667
130.5206815202 ,144.2267
130.5209123602 ,130.4133
130.5211432002 ,137.16
130.5213740402 ,146.4667
130.5216048802 ,143.84
130.5218357202 ,136.2267
130.5220665602 ,130.7067
130.5222974002 ,133.5867
130.5225282402 ,144.3067
130.5227590802 ,148.24
130.5229899202 ,140.8667
130.5232207602 ,138.0533
130.5234516002 ,149
130.5236824402 ,163.68
130.5239132802 ,171.5467
130.5241441202 ,169.2267
130.5243749602 ,155.2533
130.5246058002 ,164.48
130.5248366402 ,188.12
130.5250674802 ,192.44
130.5252983202 ,167.44
130.5255291602 ,165.9733
130.5257600002 ,161.2933
130.5259908402 ,150.44
130.5262216802 ,171.16
130.5264525202 ,191.7467
130.5266833602 ,192.4667
130.5269142002 ,179.1467
130.5271450402 ,179.7867
130.5273758802 ,180.2667
130.5276067202 ,173.5333
130.5278375602 ,168.48
130.5280684002 ,189.24
130.5282992402 ,189.2533
130.5285300802 ,152.92
130.5287609202 ,133.2267
130.5289917602 ,143.0667
130.5292226002 ,165.6667
130.5294534402 ,189.4
130.5296842802 ,145.0267
130.5299151202 ,68.7067
130.5301459602 ,86.1067
130.5303768002 ,106.04
130.5306076402 ,108.24
130.5308384802 ,103.92
130.5310693202 ,106.76
130.5313001602 ,106.96
130.5315310002 ,105.7867
130.5317618402 ,102.6267
130.5319926802 ,105.0133
130.5322235202 ,119.32
130.5324543602 ,122.8
130.5326852002 ,107.8
130.5329160402 ,113.7867
130.5331468802 ,110.76
130.5333777202 ,124.56
130.5336085602 ,165.52
130.5338394002 ,147.7067
130.5340702402 ,126.9867
130.5343010802 ,132.44
130.5345319202 ,126.7067
130.5347627602 ,131.16
130.5349936002 ,124.9333
130.5352244402 ,109.6933
130.5354552802 ,123.4
130.5356861202 ,163.28
130.5359169602 ,135.6933
130.5361478002 ,141.4667
130.5363786402 ,161.8533
130.5366094802 ,136
130.5368403202 ,125.7733
130.5370711602 ,147.0933
130.5373020002 ,158.48
130.5375328402 ,186.4267
130.5377636802 ,180.8933
130.5379945202 ,184.28
130.5382253602 ,210.8533
130.5384562002 ,206.12
130.5386870402 ,172.6133
130.5389178802 ,141.04
130.5391487202 ,162.16
130.5393795602 ,190.5067
130.5396104002 ,141.68
130.5398412402 ,135.76
130.5400720802 ,159.0667
130.5403029202 ,139.7067
130.5405337602 ,134.32
130.5407646002 ,155.88
130.5409954402 ,181.76
130.5412262802 ,141.1867
130.5414571202 ,105.9333
130.5416879602 ,119.68
130.5419188002 ,119
130.5421496402 ,145.76
130.5423804802 ,168.1733
130.5426113202 ,198.48
130.5428421602 ,178.68
130.5430730002 ,115.3333
130.5433038402 ,118.0133
130.5435346802 ,127.64
130.5437655202 ,141.12
130.5439963602 ,158.9333
130.5442272002 ,134.16
130.5444580402 ,124.32
130.5446888802 ,134.1733
130.5449197202 ,163.36
130.5451505602 ,183.56
130.5453814002 ,201.8933
130.5456122402 ,211.2667
130.5458430802 ,210.2
130.5460739202 ,190.3467
130.5463047602 ,158.04
130.5465356002 ,156.0933
130.5467664402 ,156.3733
130.5469972802 ,122.0667
130.5472281202 ,127
130.5474589602 ,117.72
130.5476898002 ,120.52
130.5479206402 ,162.6267
130.5481514802 ,181.2533
130.5483823202 ,137.2933
130.5486131602 ,100.9333
130.5488440002 ,105.6533
130.5490748402 ,116.6
130.5493056802 ,120.7467
130.5495365202 ,146.3467
130.5497673602 ,153.4133
130.5499982002 ,147.6
130.5502290402 ,135.9867
130.5504598802 ,96.9867
130.5506907202 ,131.8267
130.5509215602 ,126.9067
130.5511524002 ,112.28
130.5513832402 ,114.96
130.5516140802 ,101.7333
130.5518449202 ,84.8667
130.5520757602 ,92.24
130.5523066002 ,133.24
130.5525374402 ,168.84
130.5527682802 ,178.36
130.5529991202 ,111.2133
130.5532299602 ,68.9333
130.5534608002 ,80.6533
130.5536916402 ,85.72
130.5539224802 ,108.6533
130.5541533202 ,111.64
130.5543841602 ,98.7733
130.5546150002 ,140.1867
130.5548458402 ,139.6667
130.5550766802 ,147.2133
130.5553075202 ,163.7733
130.5555383602 ,188.4267
130.5557692002 ,173.5067
130.5560000402 ,141.8533
130.5562308802 ,80.2533
130.5564617202 ,103.1733
130.5566925602 ,130.6267
130.5569234002 ,101.7067
130.5571542402 ,132.8
130.5573850802 ,144.8667
130.5576159202 ,128.8
130.5578467602 ,140.2667
130.5580776002 ,156
130.5583084402 ,165.5067
130.5585392802 ,159.0667
130.5587701202 ,158.08
130.5590009602 ,127.9333
130.5592318002 ,65.9333
130.5594626402 ,63.6267
130.5596934802 ,132.0667
130.5599243202 ,192.0133
130.5601551602 ,122.1333
130.5603860002 ,83.1867
130.5606168402 ,113.12
130.5608476802 ,129.8
130.5610785202 ,176.8533
130.5613093602 ,223.28
130.5615402002 ,182.4533
130.5617710402 ,106.1067
130.5620018802 ,94.64
130.5622327202 ,106.4
130.5624635602 ,114.2933
130.5626944002 ,118.2533
130.5629252402 ,116.8
130.5631560802 ,116.9867
130.5633869202 ,110.4933
130.5636177602 ,118.9467
130.5638486002 ,133.56
130.5640794402 ,136.84
130.5643102802 ,146.7867
130.5645411202 ,130.7333
130.5647719602 ,112.2667
130.5650028002 ,124.2667
130.5652336402 ,128.4133
130.5654644802 ,127.0267
130.5656953202 ,127.6667
130.5659261602 ,132.8
130.5661570002 ,145.84
130.5663878402 ,153.4533
130.5666186802 ,135.5867
130.5668495202 ,126.2267
130.5670803602 ,135.4667
130.5673112002 ,113.1733
130.5675420402 ,110.7867
