position (mm),PC1
90.41,-5.078378691
90.61,-5.163176907
90.81,-3.435505249
91.01,-2.357687677
91.21,-1.752584494
91.41,-1.522353751
91.61,-0.055927048
91.81,0.391581418
92.01,0.10817617
92.21,0.06564828
92.41,0.64506536
92.61,1.792181891
92.81,2.580963819
93.01,3.019773203
93.21,3.752750082
93.41,3.532001067
93.61,3.570119248
93.81,3.383365101
94.01,3.249610347
94.21,3.041519672
94.41,3.172900258
94.61,3.311776394
94.81,2.118855224
95.01,2.558723035
95.21,3.682833852
95.41,3.854455605
95.61,1.015490899
95.81,-0.717081666
96.01,-1.512475935
96.21,-0.828318159
96.41,-0.313641049
96.61,-0.264561507
96.81,0.558633659
97.01,1.393970348
97.21,1.110576638
97.41,-0.582318254
97.61,-1.381403588
97.81,-2.515610668
98.01,-2.269443747
98.21,-2.003249979
98.41,-0.507650183
98.61,0.174771566
98.81,-0.013714911
99.01,0.008623816
99.21,-0.223421499
99.41,-0.526659108
99.61,-1.803499506
99.81,-3.499828536
100.01,-4.137838805
100.21,-4.293410901
100.41,-3.791731112
100.61,-2.489679336
100.81,-0.818447253
101.01,0.165691622
101.21,0.57263461
101.41,0.734144552
101.61,1.415519777
101.81,1.808750792
102.01,2.053648532
102.21,1.574909323
102.41,1.354811838
102.61,0.626419822
102.81,0.6397315
103.01,0.379976837
103.21,0.859262891
103.41,2.300776069
103.61,2.211002217
103.81,0.242775712
104.01,-1.383976559
104.21,-0.236972733
104.41,1.625192791
104.61,2.020239573
104.81,0.620020638
105.01,-0.878102523
105.21,-1.416018161
105.41,-0.236000316
105.61,0.439948517
105.81,0.313328368
106.01,-0.334488604
106.21,0.202944975
106.41,1.188699172
106.61,1.912128367
106.81,2.34759992
107.01,2.370111171
107.21,2.114149719
107.41,0.652080181
107.61,-0.699406284
107.81,-1.129734227
108.01,-1.433065252
108.21,-0.827711091
108.41,-0.261215093
108.61,-0.332635069
108.81,0.568516493
109.01,1.256554314
109.21,0.76228523
109.41,0.198175059
109.61,-0.174591403
109.81,-0.348169487
110.01,-0.428062065
110.21,-0.780061585
110.41,-0.949044447
110.61,-0.106343305
110.81,0.225353005
111.01,-0.723521114
111.21,-0.973148548
111.41,-0.732046143
111.61,-0.144225202
111.81,0.415167618
112.01,1.75877201
112.21,2.281405328
112.41,1.87195532
112.61,0.866053744
112.81,0.599531923
113.01,1.360644397
113.21,2.522043053
113.41,2.643354357
113.61,2.112531178
